listing_id,time_stamp
6811957,1479785186
6811958,1479786880
6811960,1479780964
6811964,1479783510
6811965,1479786168
6811966,1479785602
6811971,1479784984
6811973,1479786076
6811974,1479780332
6811975,1479783956
6811983,1479783060
6811984,1479786016
6811985,1479784600
6811988,1479783872
6811990,1479781128
6811992,1479786884
6811995,1479786908
6811997,1479784434
6812000,1479785644
6812002,1479780400
6812004,1479786052
6812005,1479786526
6812009,1479780116
6812012,1479783622
6812016,1479784774
6812025,1479784856
6812032,1479783772
6812033,1479780974
6812035,1479786488
6812041,1479785768
6812045,1479783014
6812048,1479785006
6812049,1479786516
6812050,1479780676
6812051,1479784368
6812052,1479785538
6812054,1479787082
6812061,1479785114
6812062,1479786008
6812063,1479781326
6812064,1479780268
6812077,1479783266
6812082,1479779900
6812083,1479787116
6812086,1479779530
6812091,1479784678
6812098,1479779844
6812103,1479785442
6812106,1479779604
6812107,1479780036
6812112,1479784740
6812113,1479785458
6812119,1479787154
6812120,1479784576
6812122,1479787250
6812126,1479780494
6812127,1479780496
6812133,1479784044
6812135,1479779670
6812140,1479785652
6812141,1479783374
6812142,1479784248
6812143,1479785954
6812150,1479780836
6812151,1479786116
6812153,1479785602
6812154,1479783848
6812157,1479785428
6812158,1479780092
6812160,1479782866
6812162,1479787124
6812174,1479787220
6812175,1479782950
6812177,1479783370
6812178,1479786908
6812179,1479779956
6812181,1479783332
6812186,1479786374
6812187,1479780338
6812190,1479779770
6812192,1479787228
6812195,1479783048
6812198,1479780072
6812201,1479780096
6812208,1479786568
6812210,1479785494
6812215,1479779330
6812216,1479785260
6812223,1479783818
6812233,1479780884
6812234,1479785630
6812239,1479780824
6812243,1479783904
6812256,1479780454
6812257,1479779226
6812258,1479779296
6812259,1479784036
6812263,1479784636
6812264,1479785294
6812266,1479783192
6812269,1479783498
6812270,1479786538
6812274,1479783830
6812275,1479787096
6812282,1479785674
6812286,1479784422
6812289,1479782902
6812292,1479780584
6812294,1479783850
6812300,1479780386
6812301,1479787226
6812315,1479783222
6812319,1479780860
6812321,1479783320
6812326,1479781042
6812332,1479785010
6812334,1479782838
6812336,1479779886
6812339,1479783738
6812340,1479780972
6812345,1479786898
6812360,1479782930
6812362,1479781058
6812371,1479784562
6812372,1479786164
6812374,1479786508
6812380,1479780878
6812382,1479787210
6812389,1479784808
6812395,1479784642
6812418,1479785372
6812424,1479785708
6812428,1479779946
6812436,1479779642
6812437,1479785130
6812440,1479779488
6812441,1479783154
6812444,1479785388
6812449,1479780492
6812452,1479784034
6812456,1479783996
6812459,1479785618
6812462,1479784712
6812465,1479787102
6812466,1479785764
6812475,1479783344
6812476,1479783676
6812481,1479782844
6812483,1479783634
6812487,1479785024
6812491,1479785220
6812493,1479781158
6812504,1479779716
6812510,1479783526
6812513,1479787250
6812516,1479782960
6812518,1479783026
6812519,1479780778
6812520,1479786130
6812524,1479785728
6812533,1479779490
6812535,1479785622
6812539,1479784186
6812545,1479786100
6812546,1479783944
6812548,1479783402
6812549,1479787104
6812557,1479782808
6812558,1479780488
6812559,1479783754
6812564,1479780080
6812573,1479786248
6812579,1479779966
6812584,1479782994
6812585,1479783328
6812586,1479786548
6812592,1479785490
6812597,1479784672
6812600,1479787102
6812605,1479784134
6812621,1479780940
6812630,1479782992
6812631,1479780880
6812632,1479780006
6812635,1479780768
6812648,1479779672
6812649,1479786454
6812654,1479786302
6812655,1479785002
6812659,1479785016
6812667,1479784114
6812674,1479783322
6812676,1479783944
6812677,1479780792
6812680,1479784786
6812685,1479785592
6812686,1479785652
6812689,1479785602
6812691,1479780480
6812694,1479780612
6812711,1479785744
6812715,1479779884
6812720,1479783880
6812729,1479779514
6812731,1479786722
6812734,1479785578
6812735,1479785380
6812740,1479786334
6812741,1479786914
6812744,1479785658
6812759,1479787124
6812767,1479784080
6812768,1479785660
6812776,1479783688
6812777,1479784626
6812781,1479787124
6812786,1479785592
6812787,1479786130
